max_moving_frame,max_variance,max_therhold_pixel_num,max_R,is_fall
19,3.0725,7,24.0,1
12,2.4900000000000007,6,32.666666666666664,1
13,2.6431250000000004,7,42.0,1
16,3.3275000000000006,8,22.5,1
16,2.7,7,35.0,1
18,2.918125,9,34.0,1
13,2.350625,8,35.0,1
14,2.06,10,22.5,1
14,2.2381249999999997,6,28.0,1
15,3.138125,9,22.5,1
15,1.655625,9,30.0,1
13,1.85,8,30.0,1
12,1.888125,10,30.0,1
16,2.01,7,18.333333333333332,1
17,1.815625,4,30.0,1
15,2.085,10,33.0,1
14,1.593125,6,30.0,1
11,1.3524999999999998,3,30.0,1
12,1.5881250000000002,7,30.333333333333332,1
13,1.7381250000000001,6,42.0,1
12,1.7225000000000001,4,45.5,1
18,1.925,4,44.0,1
14,2.000625,6,42.0,1
15,1.9625,7,38.5,1
15,1.75,5,32.666666666666664,1
13,1.780625,7,34.666666666666664,1
15,1.978125,5,33.0,1
15,1.6631249999999997,8,30.0,1
15,2.4056249999999997,6,33.0,1
13,1.615625,6,38.5,1
17,1.6181249999999998,4,38.5,1
14,1.5256250000000002,7,42.0,1
21,3.540625,12,20.0,0
23,2.4275,8,24.0,0
19,2.205625,8,23.333333333333332,0
21,2.9875,11,25.333333333333332,0
21,3.305625,10,19.5,0
22,2.8150000000000004,10,30.0,0
21,2.5225000000000004,10,18.0,0
22,3.015,10,22.5,0
20,3.727499999999999,12,44.0,0
18,2.8650000000000007,10,22.0,0
19,2.4506249999999996,9,22.75,0
18,2.8556250000000003,7,28.0,0
19,3.935,11,20.0,0
17,1.955625,6,21.0,0
20,2.7681250000000004,7,37.333333333333336,0
20,3.2375,9,35.0,0
23,3.130625,10,20.0,0
15,2.285,8,21.0,0
21,4.772500000000001,8,24.5,0
20,2.5150000000000006,9,26.0,0
31,5.253125,15,21.666666666666668,0
31,4.140625,15,31.5,0
28,3.7931250000000007,15,21.0,0
35,4.075,13,22.0,0
29,4.418125,15,27.2,0
31,4.25,16,25.0,0
30,3.7181250000000006,16,24.0,0
28,4.780625000000001,14,24.0,0
30,3.9724999999999993,14,24.5,0
30,4.6625,15,30.333333333333332,0
22,3.203125,12,26.6,0
22,4.750624999999999,11,29.75,0
22,4.130625,12,19.2,0
21,4.1525,12,20.0,0
22,4.09,11,23.333333333333332,0
26,5.4,12,22.5,0
25,4.8225,13,37.333333333333336,0
22,4.093125000000001,12,16.25,0
24,2.86,11,22.5,0
22,2.225625,10,24.0,0
21,5.855625,13,23.8,0
28,2.7775000000000003,16,21.6,0
30,3.2431250000000005,13,22.8,0
27,2.6975000000000002,14,22.0,0
29,3.7806249999999997,17,29.4,0
28,3.230625,16,29.333333333333332,0
27,3.0775,14,25.0,0
30,3.450625,15,56.0,0
28,2.9506249999999996,14,29.333333333333332,0
30,3.0875,14,48.0,0
27,3.1375,15,23.333333333333332,0
23,3.0100000000000002,5,20.0,0
18,2.025,4,21.0,0
17,2.293125,6,20.0,0
19,2.1681250000000003,5,18.333333333333332,0
19,2.1125,4,20.0,0
23,2.640625,4,22.5,0
20,2.3649999999999998,8,23.333333333333332,0
21,2.3225000000000002,8,18.333333333333332,0
19,1.8650000000000002,5,18.333333333333332,0
21,1.9900000000000002,4,22.5,0
23,2.515625,7,22.0,0
21,2.5,5,20.0,0
23,3.5025000000000004,6,27.0,0
24,2.615,7,26.0,0
23,2.2131250000000002,5,26.0,0
22,2.015625,6,26.0,0
23,1.8381250000000002,5,24.0,0
16,1.8381249999999998,4,18.333333333333332,0
19,1.9650000000000003,5,21.0,0
22,2.303125,5,20.0,0
13,1.500625,10,30.333333333333332,1
15,1.628125,11,30.333333333333332,1
15,2.0931249999999997,7,30.0,1
17,2.0006250000000003,7,30.333333333333332,1
13,1.565625,4,38.5,1
13,1.7100000000000002,6,38.5,1
16,2.0006250000000003,7,30.0,1
15,1.9900000000000002,6,38.5,1
15,1.65,6,25.666666666666668,1
13,1.790625,4,28.0,1
21,4.575,10,25.666666666666668,0
21,3.2556249999999998,10,35.0,0
21,3.143125,7,24.5,0
20,2.8850000000000002,9,25.666666666666668,0
23,3.075625,9,15.0,0
20,2.5506249999999997,11,34.666666666666664,0
19,2.143125,11,22.0,0
22,3.4681250000000006,9,21.0,0
22,2.95,9,17.5,0
20,2.593125,11,28.0,0
13,1.7600000000000002,7,45.5,1
15,1.905625,11,38.5,1
11,1.1506250000000002,3,45.5,1
15,1.575625,5,42.0,1
7,1.375625,4,40.0,1
4,0.8474999999999999,3,26.0,1
9,1.343125,7,30.0,1
12,1.3806249999999998,9,30.333333333333332,1
12,1.3131249999999999,4,26.0,1
10,1.9900000000000002,3,32.666666666666664,1
21,3.613125,26,16.666666666666668,0
18,4.188125,22,12.0,0
20,2.6625,18,16.666666666666668,0
22,3.268125,24,20.0,0
17,2.6975000000000002,24,15.0,0
20,2.5525000000000007,28,13.75,0
22,2.9006250000000002,24,13.75,0
18,3.7600000000000007,26,12.0,0
19,3.268125,26,16.666666666666668,0
19,3.0025000000000004,18,18.333333333333332,0
19,2.3275,22,18.333333333333332,0
19,2.3900000000000006,18,15.0,0
26,3.013125,14,16.666666666666668,0
27,2.9475,10,22.0,0
26,3.2275000000000005,14,30.333333333333332,0
32,3.118125,12,20.0,0
22,3.3400000000000007,14,24.0,0
30,3.2399999999999998,10,16.666666666666668,0
25,2.488125,10,25.666666666666668,0
32,2.5056249999999998,8,26.0,0
21,2.44,8,21.666666666666668,0
31,2.9650000000000003,10,19.5,0
19,2.215625,8,27.0,0
23,2.215,10,19.5,0
