max_moving_frame,max_variance,max_therhold_pixel_num,max_R,is_fall
21,2.3631249999999997,11,37.333333333333336,0
25,2.7756250000000002,12,16.666666666666668,0
20,2.7125,11,19.2,0
21,2.5725000000000002,8,24.0,0
19,2.3150000000000004,9,24.0,0
18,1.975,10,20.0,0
21,2.8381250000000002,10,16.25,0
21,2.56,12,22.0,0
21,2.9850000000000003,10,28.0,0
19,1.938125,10,26.0,0
21,3.030625,8,22.0,0
18,2.293125,11,28.0,0
21,2.3150000000000004,10,37.333333333333336,0
18,2.2631249999999996,9,19.5,0
16,3.165,8,25.666666666666668,0
20,1.9381249999999999,9,27.2,0
16,2.743125,11,14.666666666666666,0
22,3.888125,12,16.666666666666668,0
18,2.475625,11,26.0,0
18,2.8650000000000007,10,22.0,0
20,3.727499999999999,12,44.0,0
21,3.540625,12,20.0,0
23,2.4275,8,24.0,0
19,2.205625,8,23.333333333333332,0
21,2.9875,11,25.333333333333332,0
21,3.305625,10,19.5,0
22,2.8150000000000004,10,30.0,0
21,2.5225000000000004,10,18.0,0
22,3.015,10,22.5,0
22,2.5974999999999997,12,37.333333333333336,0
22,2.285,10,18.333333333333332,0
19,1.8431250000000001,9,20.0,0
17,3.0306249999999997,10,31.5,0
22,3.4725,11,24.0,0
21,3.9849999999999994,10,18.333333333333332,0
20,2.638125,10,32.666666666666664,0
24,2.8899999999999997,10,21.6,0
20,2.3150000000000004,11,17.5,0
21,2.8775,10,20.0,0
21,4.575,10,25.666666666666668,0
21,3.2556249999999998,10,35.0,0
21,3.143125,7,24.5,0
20,2.8850000000000002,9,25.666666666666668,0
23,3.075625,9,15.0,0
20,2.5506249999999997,11,34.666666666666664,0
19,2.143125,11,22.0,0
22,3.4681250000000006,9,21.0,0
22,2.95,9,17.5,0
20,2.593125,11,28.0,0
20,3.085,11,34.666666666666664,0
15,2.7181249999999997,7,24.0,1
15,3.04,6,30.333333333333332,1
15,2.74,7,22.5,1
12,2.113125,4,26.0,1
12,1.6006249999999997,3,26.0,1
18,3.2381249999999993,7,22.5,1
20,3.25,5,26.0,1
16,3.300625,7,26.0,1
18,3.2756250000000002,5,24.0,1
16,2.175,4,24.0,1
15,3.0900000000000007,7,28.0,1
15,2.99,5,26.0,1
16,2.2025000000000006,7,30.0,1
16,3.600625,9,30.0,1
12,1.8975000000000002,7,30.333333333333332,1
15,3.293125,6,27.0,1
16,3.6025,8,24.0,1
15,2.728125,7,24.0,1
15,2.665,7,28.0,1
15,3.763125,6,30.333333333333332,1
19,3.0725,7,24.0,1
12,2.4900000000000007,6,32.666666666666664,1
13,2.6431250000000004,7,42.0,1
16,3.3275000000000006,8,22.5,1
16,2.7,7,35.0,1
18,2.918125,9,34.0,1
13,2.350625,8,35.0,1
13,3.053125,10,38.5,1
20,3.5881250000000002,12,30.0,1
17,3.14,11,22.0,1
19,1.9024999999999999,9,33.0,1
15,2.5025000000000004,6,24.0,1
15,2.543125,6,38.5,1
15,2.6725000000000003,9,26.0,1
18,1.9150000000000003,5,28.0,1
12,1.593125,6,30.0,1
15,1.7256249999999997,5,28.0,1
13,1.905625,5,24.0,1
12,1.3224999999999998,5,32.666666666666664,1
10,1.268125,3,30.333333333333332,1
11,1.2474999999999998,4,28.0,1
5,0.9181249999999999,1,22.5,1
14,1.625625,5,24.0,1
8,1.278125,2,22.0,1
7,1.203125,3,35.0,1
14,1.5881250000000002,10,26.0,1
16,1.528125,5,42.0,1
14,2.1931249999999998,8,32.666666666666664,1
16,1.6849999999999998,7,24.0,1
18,2.4875,6,22.5,1
15,1.7100000000000002,7,28.0,1
13,1.85,5,25.0,1
15,1.5006249999999999,6,24.0,1
13,1.6875,5,30.333333333333332,1
18,1.9900000000000002,5,32.666666666666664,1
14,2.06,10,22.5,1
14,2.2381249999999997,6,28.0,1
15,3.138125,9,22.5,1
15,1.655625,9,30.0,1
13,1.85,8,30.0,1
12,1.888125,10,30.0,1
16,2.01,7,18.333333333333332,1
17,1.815625,4,30.0,1
14,1.443125,7,33.0,1
16,1.580625,6,25.0,1
12,1.24,4,26.0,1
14,2.085,8,25.0,1
12,1.403125,4,26.0,1
16,1.765,9,20.0,1
12,1.4131250000000002,5,24.0,1
13,1.3275000000000001,7,30.0,1
11,1.3474999999999997,5,26.0,1
14,1.138125,3,32.666666666666664,1
13,1.7600000000000002,7,45.5,1
15,1.905625,11,38.5,1
11,1.1506250000000002,3,45.5,1
15,1.575625,5,42.0,1
7,1.375625,4,40.0,1
4,0.8474999999999999,3,26.0,1
9,1.343125,7,30.0,1
12,1.3806249999999998,9,30.333333333333332,1
12,1.3131249999999999,4,26.0,1
10,1.9900000000000002,3,32.666666666666664,1
16,1.2599999999999998,5,33.0,1
15,1.31,3,17.5,0
17,1.8649999999999998,6,20.4,0
17,1.7650000000000001,7,16.25,0
19,2.01,6,16.25,0
21,2.4056249999999997,8,17.5,0
21,2.4850000000000003,8,17.5,0
18,1.9150000000000003,5,20.0,0
17,1.8400000000000003,4,18.0,0
10,1.4931249999999998,2,20.0,0
17,1.9875,3,19.5,0
15,1.7875,3,18.333333333333332,0
15,1.3599999999999999,4,33.25,0
16,2.3975,4,20.0,0
16,1.6224999999999998,4,18.333333333333332,0
20,2.5256250000000002,6,15.0,0
12,1.735,3,22.5,0
18,1.640625,5,18.333333333333332,0
20,1.8849999999999998,5,20.0,0
19,2.4625,5,29.75,0
22,2.338125,7,20.0,0
23,3.0100000000000002,5,20.0,0
18,2.025,4,21.0,0
17,2.293125,6,20.0,0
19,2.1681250000000003,5,18.333333333333332,0
19,2.1125,4,20.0,0
23,2.640625,4,22.5,0
20,2.3649999999999998,8,23.333333333333332,0
21,2.3225000000000002,8,18.333333333333332,0
19,1.8650000000000002,5,18.333333333333332,0
20,2.2975000000000003,6,26.0,0
20,2.1025,6,20.0,0
20,3.150625,5,20.0,0
19,2.0256250000000002,7,18.333333333333332,0
20,2.5756249999999996,6,19.5,0
17,1.85,8,32.666666666666664,0
19,2.5875,7,22.0,0
16,2.5725,7,45.333333333333336,0
23,3.9899999999999993,12,32.666666666666664,0
18,1.865625,6,21.0,0
17,1.7100000000000002,5,38.0,0
18,2.0181249999999995,5,19.5,0
18,2.628125,7,18.0,0
20,2.7975,7,27.0,0
17,3.075625,6,26.0,0
18,2.6125,6,19.5,0
17,1.9131249999999997,7,33.25,0
20,2.0681249999999998,7,24.0,0
17,1.81,6,34.666666666666664,0
18,1.3681249999999998,7,21.0,0
18,1.925,8,20.0,0
19,2.055625,6,28.0,0
20,1.9431249999999995,7,18.333333333333332,0
19,2.4506249999999996,9,22.75,0
18,2.8556250000000003,7,28.0,0
19,3.935,11,20.0,0
17,1.955625,6,21.0,0
20,2.7681250000000004,7,37.333333333333336,0
20,3.2375,9,35.0,0
23,3.130625,10,20.0,0
15,2.285,8,21.0,0
21,4.772500000000001,8,24.5,0
20,2.5150000000000006,9,26.0,0
22,2.328125,7,28.0,0
18,3.565,11,32.0,0
27,2.3875,8,24.5,0
21,3.6100000000000003,11,20.0,0
20,2.3756250000000003,8,26.0,0
22,2.563125,9,24.5,0
20,2.118125,8,28.0,0
20,2.675625,7,14.0,0
19,1.8125,7,19.2,0
18,2.355625,8,16.666666666666668,0
21,2.2475,5,21.666666666666668,0
16,2.7849999999999997,7,17.5,0
25,4.030625000000001,8,16.666666666666668,0
18,4.010000000000001,8,17.5,0
15,2.1350000000000002,6,22.166666666666668,0
22,2.7131250000000002,5,18.0,0
22,2.4650000000000003,8,21.0,0
21,3.01,7,20.0,0
17,1.9400000000000002,8,37.333333333333336,0
22,3.080625,6,30.333333333333332,0
22,3.413125,6,21.0,0
16,1.975,8,18.0,0
14,2.0025000000000004,6,22.0,1
13,2.0056249999999998,6,27.0,1
14,1.7100000000000002,9,25.0,1
16,1.9650000000000003,9,33.0,1
13,1.515625,6,37.333333333333336,1
16,2.365,5,38.5,1
10,1.6149999999999998,3,33.0,1
16,1.9725000000000001,9,27.0,1
17,2.315625,9,30.0,1
17,1.7400000000000002,8,52.0,1
14,1.5556249999999998,6,30.0,1
17,2.325625,6,26.0,1
15,1.9025000000000005,6,33.0,1
15,1.9931249999999998,6,33.0,1
15,1.7256249999999997,7,30.0,1
14,2.655625,10,33.0,1
18,2.1756249999999997,10,33.0,1
17,2.1224999999999996,5,30.0,1
15,1.7725000000000002,7,30.333333333333332,1
15,1.985,7,33.0,1
15,1.813125,6,38.5,1
15,2.085,10,33.0,1
14,1.593125,6,30.0,1
11,1.3524999999999998,3,30.0,1
12,1.5881250000000002,7,30.333333333333332,1
13,1.7381250000000001,6,42.0,1
12,1.7225000000000001,4,45.5,1
13,1.6056249999999999,3,33.0,1
13,1.6506249999999998,7,52.0,1
11,1.165625,4,30.0,1
9,1.3631250000000001,4,30.0,1
11,1.6524999999999999,4,33.0,1
14,1.500625,5,33.0,1
12,1.343125,4,42.0,1
13,1.5881250000000002,5,24.0,1
14,1.2931249999999999,7,22.5,1
11,1.55,5,30.0,1
16,1.7025,5,21.666666666666668,1
11,1.865625,8,33.0,1
17,2.1775,10,36.0,1
16,2.168125,7,33.0,1
16,1.9381249999999999,6,27.0,1
15,2.7125,8,33.0,1
17,2.543125,6,26.0,1
16,1.9650000000000003,6,28.0,1
18,2.5475000000000003,5,42.0,1
15,2.005625,5,30.0,1
14,1.8775000000000002,8,36.0,1
16,2.305625,6,30.0,1
15,2.0131249999999996,4,30.333333333333332,1
29,3.4775000000000005,20,32.0,0
29,4.453125,17,21.0,0
31,5.053125,18,25.0,0
