max_moving_frame,max_variance,max_therhold_pixel_num,max_R,is_fall
21,2.3631249999999997,11,37.333333333333336,0
25,2.7756250000000002,12,16.666666666666668,0
20,2.7125,11,19.2,0
21,2.5725000000000002,8,24.0,0
19,2.3150000000000004,9,24.0,0
18,1.975,10,20.0,0
21,2.8381250000000002,10,16.25,0
21,2.56,12,22.0,0
21,2.9850000000000003,10,28.0,0
19,1.938125,10,26.0,0
20,2.5756249999999996,6,19.5,0
17,1.85,8,32.666666666666664,0
19,2.5875,7,22.0,0
16,2.5725,7,45.333333333333336,0
23,3.9899999999999993,12,32.666666666666664,0
18,1.865625,6,21.0,0
17,1.7100000000000002,5,38.0,0
18,2.0181249999999995,5,19.5,0
18,2.628125,7,18.0,0
20,2.7975,7,27.0,0
29,3.4775000000000005,20,32.0,0
29,4.453125,17,21.0,0
31,5.053125,18,25.0,0
30,4.764999999999999,15,30.333333333333332,0
29,5.643125,15,19.5,0
31,4.785,16,26.25,0
33,4.585000000000001,15,34.666666666666664,0
31,4.468125000000001,14,24.0,0
30,4.713125,16,22.0,0
35,3.915,15,29.333333333333332,0
15,1.7381250000000001,5,21.0,0
12,1.2881250000000002,7,24.0,0
10,1.1681249999999999,5,22.5,0
13,1.7974999999999999,5,22.0,0
10,1.61,6,20.0,0
13,1.330625,5,22.0,0
12,2.0306249999999997,6,18.333333333333332,0
17,1.8631249999999997,6,17.5,0
24,1.585,8,18.0,0
16,1.7599999999999998,6,18.333333333333332,0
21,1.3649999999999998,6,20.4,0
15,1.31,3,17.5,0
17,1.8649999999999998,6,20.4,0
17,1.7650000000000001,7,16.25,0
19,2.01,6,16.25,0
21,2.4056249999999997,8,17.5,0
21,2.4850000000000003,8,17.5,0
18,1.9150000000000003,5,20.0,0
17,1.8400000000000003,4,18.0,0
10,1.4931249999999998,2,20.0,0
17,1.9875,3,19.5,0
15,2.7181249999999997,7,24.0,1
15,3.04,6,30.333333333333332,1
15,2.74,7,22.5,1
12,2.113125,4,26.0,1
12,1.6006249999999997,3,26.0,1
18,3.2381249999999993,7,22.5,1
20,3.25,5,26.0,1
16,3.300625,7,26.0,1
18,3.2756250000000002,5,24.0,1
16,2.175,4,24.0,1
18,1.9150000000000003,5,28.0,1
12,1.593125,6,30.0,1
15,1.7256249999999997,5,28.0,1
13,1.905625,5,24.0,1
12,1.3224999999999998,5,32.666666666666664,1
10,1.268125,3,30.333333333333332,1
11,1.2474999999999998,4,28.0,1
5,0.9181249999999999,1,22.5,1
14,1.625625,5,24.0,1
8,1.278125,2,22.0,1
14,2.0025000000000004,6,22.0,1
13,2.0056249999999998,6,27.0,1
14,1.7100000000000002,9,25.0,1
16,1.9650000000000003,9,33.0,1
13,1.515625,6,37.333333333333336,1
16,2.365,5,38.5,1
10,1.6149999999999998,3,33.0,1
16,1.9725000000000001,9,27.0,1
17,2.315625,9,30.0,1
17,1.7400000000000002,8,52.0,1
15,2.365,7,33.0,1
15,2.1650000000000005,8,36.0,1
15,2.2875,7,28.0,1
15,2.14,7,28.0,1
14,2.605625,6,26.0,1
13,1.953125,6,28.0,1
14,1.643125,4,33.0,1
14,2.085,4,35.0,1
17,2.035,5,27.0,1
12,1.4849999999999999,8,36.0,1
16,2.41,7,27.0,1
16,2.71,7,30.333333333333332,1
16,2.3275,5,30.0,1
14,1.718125,9,33.0,1
15,1.8131249999999999,6,30.0,1
15,2.243125,7,33.0,1
16,1.7149999999999999,7,30.0,1
16,1.5431249999999999,8,33.0,1
15,1.9974999999999998,8,33.0,1
13,1.615625,11,36.0,1
