max_moving_frame,max_variance,max_therhold_pixel_num,max_R,is_fall
29,4.130625,18,48.0,0
24,3.7475,17,30.333333333333332,0
25,3.2025000000000006,15,56.0,0
27,3.4131249999999995,15,31.5,0
26,3.465,15,35.0,0
26,3.5256249999999993,11,28.8,0
26,3.1131249999999997,15,52.0,0
26,2.853125,14,24.0,0
27,2.490625,17,33.0,0
26,2.8006249999999997,12,29.75,0
27,3.8681250000000005,14,34.0,0
16,2.41,7,27.0,1
16,2.71,7,30.333333333333332,1
16,2.3275,5,30.0,1
15,1.8131249999999999,6,30.0,1
15,2.243125,7,33.0,1
14,1.718125,9,33.0,1
16,1.7149999999999999,7,30.0,1
16,1.5431249999999999,8,33.0,1
15,1.9974999999999998,8,33.0,1
13,1.615625,11,36.0,1
15,1.853125,7,30.0,1
14,1.343125,7,32.666666666666664,1
14,1.61,5,30.0,1
15,1.8650000000000002,7,42.0,1
14,1.665625,6,42.0,1
16,1.515625,7,33.0,1
14,1.9875,9,36.0,1
16,1.665625,6,35.0,1
14,1.4099999999999997,6,45.5,1
17,1.9431249999999998,4,35.0,1
15,1.9431249999999998,6,42.0,1
15,1.6631249999999997,8,30.0,1
15,2.4056249999999997,6,33.0,1
13,1.615625,6,38.5,1
17,1.6181249999999998,4,38.5,1
14,1.5256250000000002,7,42.0,1
14,1.4974999999999998,7,33.0,1
15,2.0225,6,35.0,1
15,1.9931249999999998,6,42.0,1
16,2.680625,7,35.0,1
13,1.500625,10,30.333333333333332,1
15,1.628125,11,30.333333333333332,1
15,2.0931249999999997,7,30.0,1
17,2.0006250000000003,7,30.333333333333332,1
13,1.565625,4,38.5,1
13,1.7100000000000002,6,38.5,1
16,2.0006250000000003,7,30.0,1
15,1.9900000000000002,6,38.5,1
15,1.65,6,25.666666666666668,1
16,1.7,6,30.333333333333332,1
14,1.768125,6,28.0,1
14,1.815625,6,28.0,1
15,1.7931250000000003,6,28.0,1
16,1.75,5,30.0,1
15,1.753125,5,30.0,1
16,2.91,7,33.0,1
15,2.853125,6,25.666666666666668,1
15,2.3875,6,30.333333333333332,1
15,1.8756249999999999,6,35.0,1
13,1.903125,6,28.0,1
14,2.105625,6,24.0,1
13,1.8625,5,28.0,1
14,1.780625,4,30.0,1
14,1.8475000000000001,4,32.666666666666664,1
15,1.565,3,28.0,1
14,1.8525000000000003,4,37.333333333333336,1
14,2.2775000000000003,5,24.0,1
13,1.64,4,26.0,1
14,2.1125,5,42.666666666666664,1
15,1.7381249999999997,5,30.0,1
16,2.0256250000000002,6,30.333333333333332,1
